2017-01-11 14:40:36.787093
Voltage: 3.85V
Battery:   55%
2017-01-11 14:41:36.849034
Voltage: 3.85V
Battery:   55%
2017-01-11 14:42:36.910864
Voltage: 3.85V
Battery:   55%
2017-01-11 14:43:36.970426
Voltage: 3.85V
Battery:   55%
2017-01-11 14:44:37.001938
Voltage: 3.76V
Battery:   54%
2017-01-11 14:45:37.009759
Voltage: 3.73V
Battery:   54%
2017-01-11 14:46:37.018651
Voltage: 3.73V
Battery:   53%
2017-01-11 14:47:37.054030
Voltage: 3.71V
Battery:   53%
2017-01-11 14:48:37.115864
Voltage: 3.72V
Battery:   52%
2017-01-11 14:49:37.177715
Voltage: 3.75V
Battery:   52%
2017-01-11 14:50:37.220390
Voltage: 3.73V
Battery:   51%
2017-01-11 14:51:37.282198
Voltage: 3.74V
Battery:   51%
2017-01-11 14:52:37.344009
Voltage: 3.73V
Battery:   50%
2017-01-11 14:53:37.381987
Voltage: 3.74V
Battery:   50%
2017-01-11 14:54:37.391376
Voltage: 3.74V
Battery:   49%
2017-01-11 14:55:37.453342
Voltage: 3.72V
Battery:   49%
2017-01-11 14:56:37.497451
Voltage: 3.72V
Battery:   48%
2017-01-11 14:57:37.559422
Voltage: 3.71V
Battery:   48%
2017-01-11 14:58:37.599269
Voltage: 3.71V
Battery:   47%
2017-01-11 14:59:37.651828
Voltage: 3.72V
Battery:   46%
2017-01-11 15:00:37.703746
Voltage: 3.73V
Battery:   46%
2017-01-11 15:01:37.720430
Voltage: 3.71V
Battery:   45%
2017-01-11 15:02:37.725516
Voltage: 3.71V
Battery:   45%
2017-01-11 15:03:37.785760
Voltage: 3.72V
Battery:   44%
2017-01-11 15:04:37.840428
Voltage: 3.71V
Battery:   44%
2017-01-11 15:05:37.900394
Voltage: 3.65V
Battery:   43%
2017-01-11 15:06:37.960386
Voltage: 3.71V
Battery:   43%
2017-01-11 15:07:38.020443
Voltage: 3.67V
Battery:   42%
2017-01-11 15:08:38.076673
Voltage: 3.73V
Battery:   42%
2017-01-11 15:09:38.134593
Voltage: 3.70V
Battery:   41%
2017-01-11 15:10:38.190841
Voltage: 3.72V
Battery:   41%
2017-01-11 15:11:38.241976
Voltage: 3.71V
Battery:   40%
2017-01-11 15:12:38.301567
Voltage: 3.71V
Battery:   40%
2017-01-11 15:13:38.360422
Voltage: 3.71V
Battery:   39%
2017-01-11 15:14:38.415497
Voltage: 3.69V
Battery:   39%
2017-01-11 15:15:38.475490
Voltage: 3.71V
Battery:   38%
2017-01-11 15:16:38.531802
Voltage: 3.69V
Battery:   38%
2017-01-11 15:17:38.581271
Voltage: 3.66V
Battery:   37%
2017-01-11 15:18:38.640692
Voltage: 3.68V
Battery:   37%
2017-01-11 15:19:38.700686
Voltage: 3.71V
Battery:   36%
2017-01-11 15:20:38.760518
Voltage: 3.70V
Battery:   36%
2017-01-11 15:21:38.820551
Voltage: 3.68V
Battery:   35%
2017-01-11 15:22:38.880603
Voltage: 3.68V
Battery:   35%
2017-01-11 15:23:38.940557
Voltage: 3.65V
Battery:   34%
2017-01-11 15:24:39.000510
Voltage: 3.69V
Battery:   33%
2017-01-11 15:25:39.061269
Voltage: 3.70V
Battery:   33%
2017-01-11 15:26:39.118254
Voltage: 3.70V
Battery:   32%
2017-01-11 15:27:39.175114
Voltage: 3.65V
Battery:   32%
2017-01-11 15:28:39.228253
Voltage: 3.69V
Battery:   32%
2017-01-11 15:29:39.280464
Voltage: 3.67V
Battery:   31%
2017-01-11 15:30:39.340519
Voltage: 3.69V
Battery:   31%
2017-01-11 15:31:39.396313
Voltage: 3.70V
Battery:   30%
2017-01-11 15:32:39.455570
Voltage: 3.65V
Battery:   30%
2017-01-11 15:33:39.510420
Voltage: 3.67V
Battery:   29%
2017-01-11 15:34:39.570422
Voltage: 3.66V
Battery:   29%
2017-01-11 15:35:39.632351
Voltage: 3.66V
Battery:   28%
2017-01-11 15:36:39.694152
Voltage: 3.69V
Battery:   28%
2017-01-11 15:37:39.735554
Voltage: 3.66V
Battery:   27%
2017-01-11 15:38:39.790851
Voltage: 3.66V
Battery:   27%
2017-01-11 15:39:39.850754
Voltage: 3.67V
Battery:   26%
2017-01-11 15:40:39.908676
Voltage: 3.68V
Battery:   26%
2017-01-11 15:41:39.970417
Voltage: 3.69V
Battery:   26%
2017-01-11 15:42:40.017490
Voltage: 3.67V
Battery:   25%
2017-01-11 15:43:40.073590
Voltage: 3.68V
Battery:   25%
2017-01-11 15:44:40.130467
Voltage: 3.68V
Battery:   24%
2017-01-11 15:45:40.190618
Voltage: 3.68V
Battery:   24%
2017-01-11 15:46:40.250426
Voltage: 3.65V
Battery:   23%
2017-01-11 15:47:40.302866
Voltage: 3.66V
Battery:   23%
2017-01-11 15:48:40.359187
Voltage: 3.67V
Battery:   23%
2017-01-11 15:49:40.416776
Voltage: 3.67V
Battery:   22%
2017-01-11 15:50:40.470471
Voltage: 3.66V
Battery:   22%
2017-01-11 15:51:40.525463
Voltage: 3.65V
Battery:   21%
2017-01-11 15:52:40.580469
Voltage: 3.65V
Battery:   21%
2017-01-11 15:53:40.635499
Voltage: 3.66V
Battery:   20%
2017-01-11 15:54:40.690467
Voltage: 3.65V
Battery:   20%
2017-01-11 15:55:40.750508
Voltage: 3.66V
Battery:   19%
2017-01-11 15:56:40.810472
Voltage: 3.63V
Battery:   19%
2017-01-11 15:57:40.867215
Voltage: 3.67V
Battery:   19%
2017-01-11 15:58:40.923452
Voltage: 3.64V
Battery:   18%
2017-01-11 15:59:40.980394
Voltage: 3.65V
Battery:   18%
2017-01-11 16:00:41.040425
Voltage: 3.64V
Battery:   17%
2017-01-11 16:01:41.085549
Voltage: 3.62V
Battery:   17%
2017-01-11 16:02:41.145703
Voltage: 3.65V
Battery:   16%
2017-01-11 16:03:41.205496
Voltage: 3.66V
Battery:   16%
2017-01-11 16:04:41.265601
Voltage: 3.64V
Battery:   15%
2017-01-11 16:05:41.325587
Voltage: 3.64V
Battery:   15%
2017-01-11 16:06:41.380425
Voltage: 3.65V
Battery:   15%
2017-01-11 16:07:41.436016
Voltage: 3.64V
Battery:   14%
2017-01-11 16:08:41.495465
Voltage: 3.65V
Battery:   14%
2017-01-11 16:09:41.555880
Voltage: 3.65V
Battery:   14%
2017-01-11 16:10:41.610538
Voltage: 3.65V
Battery:   13%
2017-01-11 16:11:41.670820
Voltage: 3.60V
Battery:   13%
2017-01-11 16:12:41.730537
Voltage: 3.63V
Battery:   12%
2017-01-11 16:13:41.791007
Voltage: 3.64V
Battery:   12%
2017-01-11 16:14:41.851409
Voltage: 3.62V
Battery:   12%
2017-01-11 16:15:41.907495
Voltage: 3.63V
Battery:   11%
2017-01-11 16:16:41.960927
Voltage: 3.59V
Battery:   11%
2017-01-11 16:17:42.020550
Voltage: 3.61V
Battery:   10%
2017-01-11 16:18:42.080419
Voltage: 3.60V
Battery:   10%
2017-01-11 16:19:42.140424
Voltage: 3.60V
Battery:    9%
2017-01-11 16:20:42.190632
Voltage: 3.59V
Battery:    9%
2017-01-11 16:21:42.245472
Voltage: 3.62V
Battery:    9%
2017-01-11 16:22:42.300507
Voltage: 3.62V
Battery:    8%
2017-01-11 16:23:42.355584
Voltage: 3.61V
Battery:    8%
2017-01-11 16:24:42.410461
Voltage: 3.61V
Battery:    7%
2017-01-11 16:25:42.461177
Voltage: 3.60V
Battery:    7%
2017-01-11 16:26:42.523014
Voltage: 3.58V
Battery:    7%
2017-01-11 16:27:42.584964
Voltage: 3.58V
Battery:    6%
2017-01-11 16:28:42.646920
Voltage: 3.59V
Battery:    6%
2017-01-11 16:29:42.680931
Voltage: 3.59V
Battery:    6%
2017-01-11 16:30:42.740609
Voltage: 3.61V
Battery:    5%
2017-01-11 16:31:42.800810
Voltage: 3.56V
Battery:    5%
2017-01-11 16:32:42.860465
Voltage: 3.59V
Battery:    5%
2017-01-11 16:33:42.920967
Voltage: 3.59V
Battery:    4%
2017-01-11 16:34:42.981481
Voltage: 3.60V
Battery:    4%
2017-01-11 16:35:43.041979
Voltage: 3.59V
Battery:    4%
2017-01-11 16:36:43.102461
Voltage: 3.56V
Battery:    4%
2017-01-11 16:37:43.160821
Voltage: 3.57V
Battery:    3%
2017-01-11 16:38:43.221332
Voltage: 3.56V
Battery:    3%
2017-01-11 16:39:43.280673
Voltage: 3.55V
Battery:    3%
2017-01-11 16:40:43.340561
Voltage: 3.56V
Battery:    2%
2017-01-11 16:41:43.400991
Voltage: 3.59V
Battery:    2%
2017-01-11 16:42:43.461676
Voltage: 3.60V
Battery:    2%
2017-01-11 16:43:43.522005
Voltage: 3.60V
Battery:    2%
2017-01-11 16:44:43.580754
Voltage: 3.59V
Battery:    2%
2017-01-11 16:45:43.641106
Voltage: 3.60V
Battery:    2%
2017-01-11 16:46:43.701720
Voltage: 3.56V
Battery:    2%
2017-01-11 16:47:43.760740
Voltage: 3.59V
Battery:    2%
2017-01-11 16:48:43.821172
Voltage: 3.58V
Battery:    2%
2017-01-11 16:49:43.881571
Voltage: 3.58V
Battery:    2%
2017-01-11 16:50:43.942221
Voltage: 3.59V
Battery:    2%
2017-01-11 16:51:44.002864
Voltage: 3.58V
Battery:    2%
2017-01-11 16:52:44.063434
Voltage: 3.58V
Battery:    2%
2017-01-11 16:53:44.124029
Voltage: 3.58V
Battery:    2%
2017-01-11 16:54:44.184430
Voltage: 3.58V
Battery:    2%
2017-01-11 16:55:44.244797
Voltage: 3.57V
Battery:    2%
2017-01-11 16:56:44.305183
Voltage: 3.57V
Battery:    2%
2017-01-11 16:57:44.365588
Voltage: 3.56V
Battery:    2%
2017-01-11 16:58:44.425993
Voltage: 3.56V
Battery:    1%
2017-01-11 16:59:44.486381
Voltage: 3.56V
Battery:    1%
2017-01-11 17:00:44.547041
Voltage: 3.55V
Battery:    1%
2017-01-11 17:01:44.607425
Voltage: 3.56V
Battery:    1%
2017-01-11 17:02:44.667820
Voltage: 3.55V
Battery:    1%
2017-01-11 17:03:44.725468
Voltage: 3.54V
